Country,4G coverage,Fiber coverage,Internet BW per user,5G commercial networks,# of IXPs,# & maturity of 5G pilots,Time to get electricity,4G launch year,5G spectrum auction plans,Govt ensuring policy stability,Legal fwk's adaptability to digital BMs,Efficiency in settling disputes,Efficiency in challenging regulations,Burden of govt regulation,Public sector corruption,# of days to start a business,Companies with disruptive ideas,Growth of innovative companies,Researchers in R&D,R&D expenditure (% of GDP),University-industry collaboration,FDI & technology transfer,VC availability,Tertiary (%),Skillset of univrsity graduates,Extent of staff training,Availability of scientists & engineers,e-Gov services,Competition in network services,GDP per capita,ICTs & business model creation,Internet users (% of population)
Finland,89.50,37.50,62.05,100.00,10.11,30.15,86.55,90.91,66.67,81.66,67.71,82.65,78.07,64.91,86.00,71.38,59.29,65.69,62.83,57.76,75.75,62.67,68.81,62.76,78.09,75.25,83.84,96.50,76.29,86.24,85.00,88.89
Switzerland,89.60,30.30,61.50,100.00,30.32,23.60,87.54,72.73,66.67,89.66,60.49,80.50,71.01,63.25,85.00,78.53,53.81,67.01,49.25,70.58,77.52,73.17,56.00,42.38,83.56,78.97,68.76,84.70,68.46,88.82,85.00,89.81
Germany,76.90,8.50,55.92,100.00,80.85,64.24,91.15,90.91,66.67,71.04,67.28,63.94,63.55,56.90,80.00,83.30,63.31,68.24,47.18,63.48,70.74,73.67,63.42,49.99,70.84,65.26,69.24,93.10,73.07,87.12,78.33,89.74
Denmark,88.60,64.40,62.59,25.00,12.63,10.49,87.87,90.91,33.33,76.03,60.17,72.04,58.98,47.88,87.00,94.04,64.53,68.07,73.97,64.90,69.12,65.33,46.50,57.37,75.01,71.17,56.60,100.00,62.60,87.17,75.00,97.64
Sweden,91.10,72.20,58.91,25.00,45.48,7.87,83.27,100.00,50.00,62.63,67.87,68.18,56.58,45.89,85.00,84.50,59.57,74.23,71.12,69.27,71.02,71.17,56.36,47.67,74.92,70.73,64.03,94.40,72.07,87.28,81.67,92.14
United Kingdom,84.70,3.80,84.68,100.00,68.22,56.37,85.24,72.73,50.00,60.05,64.83,68.07,59.15,55.61,77.00,91.65,59.25,65.38,41.00,35.00,69.05,75.33,57.93,42.70,67.54,62.67,64.81,97.90,68.36,86.05,80.00,94.90
Netherlands,92.80,35.10,67.04,50.00,27.79,30.15,66.88,77.27,33.33,78.27,65.48,75.65,68.12,56.63,82.00,94.04,62.34,71.69,46.90,41.87,74.40,74.33,56.39,60.47,76.90,72.44,64.26,93.10,77.12,87.81,83.33,94.71
Norway,95.90,58.70,63.85,50.00,17.69,22.29,78.68,100.00,66.67,70.72,60.33,66.07,56.85,47.48,84.00,92.84,57.71,57.24,60.68,44.20,61.73,69.17,48.45,58.34,70.87,68.23,67.52,95.10,67.45,89.99,73.33,96.49
Luxembourg,86.60,63.40,98.72,50.00,5.05,3.93,81.96,72.73,33.33,86.94,77.44,70.65,68.88,58.85,80.00,63.03,55.19,66.51,43.86,26.23,69.39,79.67,57.74,13.63,74.56,75.15,50.11,92.40,64.91,92.80,80.00,97.06
Austria,86.60,13.00,55.55,100.00,12.63,10.49,92.78,90.91,50.00,81.40,55.31,69.51,53.40,44.66,77.00,52.30,45.71,59.34,48.92,66.08,64.07,61.33,45.17,60.53,74.97,68.43,58.76,86.80,72.95,87.12,73.33,87.71
Iceland,86.60,67.70,86.81,25.00,2.53,0.00,93.11,68.18,0.00,62.97,62.32,69.81,64.96,49.98,78.00,74.96,60.69,63.61,62.15,45.57,59.14,55.67,44.64,51.13,73.99,65.30,64.31,72.90,71.93,87.49,73.33,99.01
Estonia,86.60,54.20,67.43,75.00,10.11,18.35,70.48,90.91,33.33,51.74,69.25,56.00,51.58,52.01,74.00,94.04,51.90,66.14,33.43,27.67,47.58,62.33,47.10,49.56,66.52,62.18,55.49,90.30,79.30,83.91,75.00,89.36
France,79.70,37.80,56.02,25.00,80.85,64.24,82.95,72.73,50.00,62.15,50.82,60.82,56.08,42.75,69.00,92.84,52.30,59.59,41.60,45.78,58.51,66.67,53.72,46.70,66.77,62.83,60.80,97.90,64.83,86.11,76.67,82.04
Ireland,63.70,12.90,61.10,100.00,12.63,7.87,72.45,65.91,66.67,71.48,52.42,52.67,49.97,48.95,74.00,76.15,55.87,66.35,38.48,21.83,67.27,84.83,42.39,55.35,72.97,66.34,63.41,82.60,55.07,90.66,76.67,84.52
Spain,87.40,77.40,46.18,100.00,30.32,93.08,69.17,68.18,50.00,53.08,44.33,49.02,39.29,31.40,62.00,72.57,41.77,50.38,26.92,25.26,41.03,65.33,47.12,63.23,64.36,48.12,57.82,93.80,67.81,85.10,75.00,86.11
Portugal,82.60,70.20,55.60,50.00,10.11,26.22,79.01,79.55,50.00,50.65,45.77,32.95,35.64,34.81,62.00,86.88,47.46,56.45,40.19,27.76,53.60,70.83,40.62,45.50,67.74,50.85,61.64,93.10,67.89,83.41,78.33,74.66
Belgium,90.40,1.40,68.70,50.00,7.58,15.73,44.25,72.73,33.33,58.58,46.33,53.15,53.24,35.03,75.00,90.46,53.03,59.15,46.29,54.51,68.71,70.50,46.82,56.69,75.04,66.57,57.54,75.70,57.59,86.50,75.00,88.66
Latvia,84.50,87.80,68.47,75.00,7.58,10.49,65.24,86.36,33.33,42.09,38.51,38.12,35.34,42.53,56.00,89.27,48.97,55.26,16.73,10.74,49.52,53.67,42.00,62.66,60.01,57.10,39.98,66.70,72.79,82.85,66.67,83.58
Lithuania,91.40,60.60,78.37,25.00,10.11,2.62,73.44,86.36,33.33,45.71,55.70,49.82,34.79,38.00,60.00,89.27,53.72,62.06,28.23,18.67,53.45,65.33,37.56,51.53,56.13,63.01,51.86,79.90,70.12,84.10,70.00,79.72
Italy,79.00,23.90,50.09,100.00,25.27,66.86,75.73,72.73,100.00,30.99,36.05,22.76,24.05,17.60,53.00,76.15,39.59,45.19,21.49,28.45,50.05,50.33,25.76,44.07,59.91,43.59,58.76,95.10,60.79,84.88,66.67,74.39
Slovenia,86.60,61.10,67.30,25.00,2.53,0.00,87.87,75.00,50.00,45.55,48.76,36.17,28.62,26.55,60.00,83.30,42.45,55.92,41.85,38.72,49.05,52.83,37.94,55.93,59.71,58.38,48.82,79.90,60.16,84.47,68.33,79.75
Russia,73.90,18.00,59.28,50.00,85.90,58.99,86.98,81.82,0.00,44.91,48.13,41.40,34.59,37.04,28.00,78.30,43.97,45.61,26.71,23.16,46.82,45.50,29.29,58.29,52.79,48.65,54.21,91.70,68.32,82.39,53.33,80.86
Czech Republic,90.60,38.40,57.20,50.00,12.63,3.93,81.31,77.27,50.00,42.32,42.72,41.02,33.57,29.12,56.00,43.95,47.81,55.24,34.57,37.49,51.05,66.50,46.62,45.60,59.71,58.01,47.21,65.30,52.63,84.55,65.00,80.69
Azerbaijan,72.90,7.00,53.76,25.00,2.53,0.00,86.88,77.27,0.00,73.56,60.07,60.46,60.95,72.11,30.00,94.04,56.57,64.14,2.42,3.87,59.55,66.50,51.95,19.26,59.73,59.85,62.46,72.90,68.12,78.67,66.67,79.80
Poland,82.90,29.10,43.81,100.00,32.85,9.18,63.27,81.82,33.33,31.59,41.55,33.78,25.34,31.45,58.00,14.14,38.39,48.47,23.68,21.71,37.21,64.33,31.74,48.27,49.30,49.67,53.16,93.10,55.78,83.46,60.00,77.54
Hungary,91.40,35.90,57.60,100.00,2.53,11.80,16.04,79.55,50.00,38.03,39.68,40.45,20.85,33.03,44.00,85.69,33.63,43.53,27.39,28.33,44.17,61.17,42.12,34.51,53.91,44.56,43.38,73.60,61.19,83.50,65.00,76.07
Romania,78.80,61.00,54.75,100.00,17.69,15.73,43.26,72.73,16.67,30.48,51.42,48.67,29.52,33.26,44.00,54.68,44.97,52.56,8.34,10.52,40.85,52.50,27.47,34.33,48.03,44.77,46.41,66.00,68.00,81.93,60.00,70.68
Slovakia,84.50,69.60,60.99,50.00,7.58,6.55,71.14,63.64,16.67,32.65,41.70,23.74,22.53,23.08,50.00,51.11,42.07,52.25,26.18,18.43,35.95,70.83,43.65,33.18,48.07,51.73,41.04,73.60,63.26,84.08,66.67,80.66
Cyprus,83.80,0.50,57.13,25.00,2.53,0.00,55.40,52.27,50.00,63.32,43.44,40.14,48.33,44.52,58.00,88.07,40.24,43.58,11.00,11.83,39.75,54.17,27.91,42.77,67.19,52.28,59.54,78.50,64.57,85.06,58.33,84.43
Greece,83.20,0.40,62.33,50.00,5.05,17.04,83.60,72.73,33.33,19.01,28.31,23.41,27.23,26.25,48.00,92.84,35.93,40.13,29.53,23.92,27.87,45.00,21.32,97.21,59.61,43.31,69.31,81.90,63.24,82.55,53.33,72.95
Bulgaria,79.50,38.00,75.22,25.00,20.21,11.80,14.40,50.00,33.33,42.08,45.10,38.11,38.19,45.16,43.00,47.53,47.28,52.15,19.96,16.12,42.27,61.33,38.95,50.70,50.33,47.03,42.98,76.40,69.26,80.89,58.33,64.78
Georgia,74.54,8.00,65.33,0.00,2.53,0.00,77.04,59.09,0.00,52.63,51.59,38.99,44.64,60.76,56.00,100.00,43.28,42.95,12.55,6.06,31.95,50.33,26.28,40.43,44.76,41.15,33.69,69.40,55.51,75.30,51.67,63.97
Serbia,83.80,15.00,63.60,25.00,2.53,2.62,59.33,50.00,0.00,44.16,43.72,34.25,33.73,34.86,39.00,85.69,42.29,49.25,19.48,19.46,39.59,48.50,35.93,47.31,53.71,43.63,48.84,73.60,63.01,78.64,58.33,73.36
Albania,72.20,5.00,60.45,25.00,5.05,0.00,77.04,47.73,0.00,39.01,45.78,25.68,22.25,56.52,35.00,91.65,31.58,46.12,1.46,3.22,38.19,65.33,33.57,40.83,51.92,59.23,38.01,73.60,54.40,76.38,51.67,72.49
Croatia,83.40,23.40,67.73,25.00,2.53,7.87,79.01,79.55,0.00,27.12,28.64,14.58,16.86,15.76,47.00,55.88,33.22,40.03,17.47,18.20,28.28,45.17,27.12,47.34,41.34,37.85,42.94,68.10,61.25,81.85,58.33,72.69
Republic of Moldova,72.20,24.00,66.55,0.00,2.53,0.00,71.80,79.55,0.00,33.42,37.36,29.34,27.33,40.22,32.00,92.84,39.28,38.69,6.78,6.31,28.73,49.33,24.59,29.23,46.74,42.78,35.24,77.10,59.04,71.61,51.67,82.05
Ukraine,66.40,14.00,60.88,25.00,25.27,0.00,12.76,20.45,0.00,34.27,38.98,39.88,33.64,43.94,30.00,86.88,39.35,42.82,9.31,9.38,45.48,42.50,33.66,58.83,56.44,50.43,62.04,56.90,62.42,73.51,48.33,60.92
North Macedonia,82.62,0.50,59.36,25.00,2.53,0.00,68.52,63.64,0.00,32.89,33.30,25.48,23.52,33.08,35.00,66.61,33.61,41.66,6.83,7.39,30.16,51.33,27.90,29.18,42.95,36.71,5.35,71.50,50.56,77.69,48.33,79.17
Bosnia and Herzegovina,50.65,3.00,58.18,0.00,2.53,0.00,77.70,13.64,0.00,20.98,22.90,17.59,13.20,18.36,36.00,4.45,38.36,39.61,4.35,4.17,23.75,46.00,22.34,16.51,36.52,34.88,40.64,43.10,46.12,76.51,43.33,70.12